school_urn,school_name,city,school_type,status,metadata_json
100001,Oak Academy,London,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-05-12"", ""pupil_premium_pct"": 0.30}"
100002,Elm Community School,Manchester,Maintained,Open,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2025-09-15"", ""pupil_premium_pct"": 0.16}"
100004,Cedar Primary,Leeds,Maintained,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-09-05"", ""pupil_premium_pct"": 0.27}"
100005,Willow Park School,Bristol,Academy,Open,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2024-03-01"", ""pupil_premium_pct"": 0.19}"
100006,Maple Grove Primary,Sheffield,Maintained,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-07-01"", ""pupil_premium_pct"": 0.38}"
100007,Ash Valley School,Liverpool,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-09-10"", ""pupil_premium_pct"": 0.29}"
100008,Pine Hills Academy,London,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-11-15"", ""pupil_premium_pct"": 0.15}"
100009,Rowan Free School,Nottingham,Free School,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-07-20"", ""pupil_premium_pct"": 0.22}"
100010,Hazel Grammar,Canterbury,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-05-12"", ""pupil_premium_pct"": 0.09}"
100012,sycamore high,NEWCASTLE,academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-07-14"", ""pupil_premium_pct"": 0.31}"
100013,Poplar Lane Primary,Oxford,Maintained,Open,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2022-09-14"", ""pupil_premium_pct"": 0.12}"
100014,Yew Tree School,Cambridge,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-08-30"", ""pupil_premium_pct"": 0.20}"
100015,Laurel Park Academy,Bath,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-11-05"", ""pupil_premium_pct"": 0.39}"
100016,Holly Cross School,York,Maintained,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-04-11"", ""pupil_premium_pct"": 0.35}"
100017,Juniper Academy,Plymouth,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-12-05"", ""pupil_premium_pct"": 0.24}"
100018,Alder Community School,Coventry,Maintained,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-03-20"", ""pupil_premium_pct"": 0.44}"
100019,Chestnut Academy,Reading,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-06-01"", ""pupil_premium_pct"": 0.17}"
100020,Beech Park School,Brighton,Free School,Open,"{""ofsted_rating"": ""Requires Improvement"", ""last_inspection"": ""2025-10-08"", ""pupil_premium_pct"": 0.28}"
100021,Larch Gate Academy,Exeter,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-11-01"", ""pupil_premium_pct"": 0.22}"
100001,Oak Academy,London,Academy,Open,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-05-12"", ""pupil_premium_pct"": 0.30}"
