urn,establishment_name,local_authority,establishment_type,status,phase_of_education,metadata_json
100001,Oak Academy,London,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-06-15"", ""pupil_premium_pct"": 0.32}"
100002,Elm Community School,Manchester,Maintained,Open,Primary,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2022-11-20"", ""pupil_premium_pct"": 0.18}"
100003,Birch College,Birmingham,Academy,Closed,Secondary,"{""ofsted_rating"": ""Requires Improvement"", ""last_inspection"": ""2024-01-10"", ""pupil_premium_pct"": 0.45}"
100004,Cedar Primary School,Leeds,Maintained,Open,Primary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-09-05"", ""pupil_premium_pct"": 0.27}"
100005,Willow Park School,Bristol,Academy,Open,Secondary,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2024-03-01"", ""pupil_premium_pct"": 0.21}"
100006,Maple Grove Primary,Sheffield,Maintained,Open,Primary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-07-01"", ""pupil_premium_pct"": 0.38}"
100007,Ash Valley School,Liverpool,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-09-10"", ""pupil_premium_pct"": 0.29}"
100008,Pine Hills Academy,London,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-11-15"", ""pupil_premium_pct"": 0.15}"
100009,Rowan Free School,Nottingham,Free School,Open,All-through,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-07-20"", ""pupil_premium_pct"": 0.22}"
100010,Hazel Grammar School,Canterbury,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-05-12"", ""pupil_premium_pct"": 0.09}"
100012,sycamore high,newcastle,academy,Open,secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-05-20"", ""pupil_premium_pct"": 0.33}"
100013,Poplar Lane Primary,Oxford,Maintained,Open,Primary,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2022-09-14"", ""pupil_premium_pct"": 0.12}"
100014,Yew Tree School,Cambridge,Academy,Open,All-through,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-08-30"", ""pupil_premium_pct"": 0.20}"
100015,Laurel Park Academy,Bath,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-11-05"", ""pupil_premium_pct"": 0.41}"
100016,Holly Cross School,York,Maintained,Open,Primary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-04-11"", ""pupil_premium_pct"": 0.35}"
100017,Juniper Academy,Plymouth,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-12-05"", ""pupil_premium_pct"": 0.24}"
100018,Alder Community School,Coventry,Maintained,Open,Primary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-08-15"", ""pupil_premium_pct"": 0.48}"
100019,Chestnut Academy,Reading,Academy,Open,Secondary,"{""ofsted_rating"": null, ""last_inspection"": null, ""pupil_premium_pct"": null}"
