urn,establishment_name,local_authority,establishment_type,status,phase_of_education,region,metadata_json
100001,Oak Academy,London,Academy,Open,Secondary,London,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-05-12"", ""pupil_premium_pct"": 0.30}"
100002,Elm Community School,Manchester,Maintained,Open,Primary,North West,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2022-11-20"", ""pupil_premium_pct"": 0.18}"
100003,Birch College,Birmingham,Academy,Closed,Secondary,West Midlands,"{""ofsted_rating"": ""Requires Improvement"", ""last_inspection"": ""2024-01-10"", ""pupil_premium_pct"": 0.45}"
100004,Cedar Primary School,Leeds,Maintained,Open,Primary,Yorkshire,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-09-05"", ""pupil_premium_pct"": 0.27}"
100005,Willow Park School,Bristol,Academy,Open,Secondary,South West,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2024-03-01"", ""pupil_premium_pct"": 0.21}"
100006,Maple Grove Primary,Sheffield,Maintained,Open,Primary,Yorkshire,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-07-01"", ""pupil_premium_pct"": 0.38}"
100007,Ash Valley School,Liverpool,Academy,Open,Secondary,North West,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-09-10"", ""pupil_premium_pct"": 0.29}"
100008,Pine Hills Academy,London,Academy,Open,Secondary,London,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-11-15"", ""pupil_premium_pct"": 0.15}"
100009,Rowan Free School,Nottingham,Free School,Open,All-through,East Midlands,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-07-20"", ""pupil_premium_pct"": 0.22}"
100010,Hazel Grammar School,Canterbury,Academy,Open,Secondary,South East,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-05-12"", ""pupil_premium_pct"": 0.09}"
100012,Sycamore High,Newcastle,Academy,Open,Secondary,north east,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-05-20"", ""pupil_premium_pct"": 0.33}"
100013,Poplar Lane Primary,Oxford,Maintained,Open,Primary,South East,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2022-09-14"", ""pupil_premium_pct"": 0.12}"
100014,Yew Tree School,Cambridge,Academy,Open,All-through,east of england,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-08-30"", ""pupil_premium_pct"": 0.20}"
100015,Laurel Park Academy,Bath,Academy,Open,Secondary,South West,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2024-11-05"", ""pupil_premium_pct"": 0.41}"
100016,Holly Cross School,York,Maintained,Open,Primary,Yorkshire,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-04-11"", ""pupil_premium_pct"": 0.35}"
100017,Juniper Academy,Plymouth,Academy,Open,Secondary,South West,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-12-05"", ""pupil_premium_pct"": 0.24}"
100018,Alder Community School,Coventry,Maintained,Open,Primary,West Midlands,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-03-20"", ""pupil_premium_pct"": 0.44}"
100019,Chestnut Academy,Reading,Academy,Open,Secondary,South East,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2025-06-01"", ""pupil_premium_pct"": 0.17}"
100020,Beech Park School,Brighton,Free School,Open,Primary,"","{""ofsted_rating"": null, ""last_inspection"": null, ""pupil_premium_pct"": null}"
100021,Larch Gate Academy,Exeter,Academy,Open,Secondary,"","{""ofsted_rating"": null, ""last_inspection"": null, ""pupil_premium_pct"": null}"
